No.,自社タイトル,自社URL,自社公開,スパムチャンネル名,スパムチャンネルURL,スパム公開,スパム再生数,スパムタイトル,スパムURL,タイトル一致率
1261,【スカッとする話】55000円で年金暮らしの私に娘「ババァの介護とか絶対無理w今日で絶縁して連絡しないでw」私「いいけど後悔しない？」娘「しねぇよ」3ヶ月後w,https://www.youtube.com/watch?v=xrBR0QZZRq0,3.5万回視聴 / 1 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 55000円で年金暮らしの私に娘「ババァの介護とか絶対無理w今日で絶縁して連絡しないでw」私「いいけど後悔しない？」娘「しねぇよ」3ヶ月後w,https://www.youtube.com/watch?v=j2_KU4xaWdE,100%
1262,【スカッとする話】55階タワマンの最上階を購入すると、夫「両親も一緒に暮らすからw」義両親「嫌なら離婚して出てけw」即出ていくと血相変えた夫から鬼電→私「やっと気づいた？w」実は…【朗読】【スカッと】,https://www.youtube.com/watch?v=Du3Qri7ivK8,2.8万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,1 回視聴,【スカッとする話】 55階タワマンの最上階を購入すると、夫「両親も一緒に暮らすからw」義両親「嫌なら離婚して出てけw」即出ていくと血相変えた夫から鬼電→私「やっと気づいた？w」実は…,https://www.youtube.com/watch?v=FoSBsUHVUgA,100%
1263,【スカッとする話】がん末期の母を置いて海外旅行に行った長男夫婦「ババァの介護は頼んだわｗ」翌日、母が笑顔で行動開始すると長男夫婦は帰らぬ人に...【修羅場】,https://www.youtube.com/watch?v=uBvDuF4U2Aw,4.8万回視聴 / 3 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 がん末期の母を置いて海外旅行に行った長男夫婦「ババァの介護は頼んだわｗ」翌日、母が笑顔で行動開始すると長男夫婦は帰らぬ人に,https://www.youtube.com/watch?v=Ls4mIyoNETY,100%
1264,【スカッとする話】両親と同居するための新築一軒家が完成すると、夫「お袋の介護か離婚か選べw」私「え？同居するつもり？2週間前から他人なのに？」夫「え？他人？」実はw,https://www.youtube.com/watch?v=7z-EBP9QVbU,1.8万回視聴 / 1 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 両親と同居するための新築一軒家が完成すると、夫「お袋の介護か離婚か選べw」私「え？同居するつもり？2週間前から他人なのに？」夫「え？他人？」実はw,https://www.youtube.com/watch?v=cZ_wZEMKHQQ,100%
1265,【スカッとする話】出張中に飛行機が墜落し半身不随になった夫「迷惑かけれないから離婚しよ」私「え？もう離婚済みだよ？介護は愛人がするんでしょ？」→義父「え？」義両親がブチギレw,https://www.youtube.com/watch?v=YdttuW1Geo0,3万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,1 回視聴,【スカッとする話】 出張中に飛行機が墜落し半身不随になった夫「迷惑かけれないから離婚しよ」私「え？もう離婚済みだよ？介護は愛人がするんでしょ？」→義父「え？」義両親がブチギレw,https://www.youtube.com/watch?v=tdRN9ljPk8k,100%
1266,【スカッとする話】単身赴任から帰った夫が愛人を連れ帰宅すると、夫「今日でお前とは離婚する！」愛人「私たちの家から早く出てけw」私「え？ここは私の家だけど？」夫・愛人「え？」結果w,https://www.youtube.com/watch?v=9HluUqVt4lA,4.4万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,1 回視聴,【スカッとする話】 単身赴任から帰った夫が愛人を連れ帰宅すると、夫「今日でお前とは離婚する！」愛人「私たちの家から早く出てけw」私「え？ここは私の家だけど？」夫・愛人「え？」結果w,https://www.youtube.com/watch?v=JqkZPhEQ90k,100%
1267,【スカッとする話】夫「妊娠？知らねぇよwお願いだからもうしゃべんな！」私「..」黙って引っ越し永久に無視してやった結果ｗ,https://www.youtube.com/watch?v=acMaagt7Yv0,11万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 夫「妊娠？知らねぇよwお願いだからもうしゃべんな！」私「  」黙って引っ越し永久に無視してやった結果ｗ,https://www.youtube.com/watch?v=2qhsL5IBPdE,100%
1268,【スカッとする話】夫と買い出し中、金持ちの浮気相手と結婚した元婚約者と再会。婚約者「俺の嫁は美人で女医だぜwお前の旦那は貧乏臭いなw」→夫「あ、じゃあ彼女はクビで」婚約者「え？」実は...,https://www.youtube.com/watch?v=72mrBowyHJw,2.6万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,1 回視聴,【スカッとする話】 夫と買い出し中、金持ちの浮気相手と結婚した元婚約者と再会。婚約者「俺の嫁は美人で女医だぜwお前の旦那は貧乏臭いなw」→夫「あ、じゃあ彼女はクビで」婚約者「え？」実は,https://www.youtube.com/watch?v=4zNu2e4cEv0,100%
1269,【スカッとする話】夫に連れられ夫婦旅行へ行くと、高速道路のSAで売店の女性が耳打ちしてきた「今すぐ逃げて下さい！」理由を聞くと衝撃の事実に戦慄し私は慌てて警察へ駆け込んだ…,https://www.youtube.com/watch?v=F0gsz0c6tDc,5.3万回視聴 / 3 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 夫に連れられ夫婦旅行へ行くと、高速道路のSAで売店の女性が耳打ちしてきた「今すぐ逃げて下さい！」理由を聞くと衝撃の事実に戦慄し私は慌てて警察へ駆け込んだ…,https://www.youtube.com/watch?v=Xr1nb2k6jdk,100%
1270,【スカッとする話】夫の義両親と同居する事になり義父母と新居の見学へ行くと、なぜか私だけ別室に案内。不動産「今すぐ逃げて下さい！」明かされた衝撃の真実を知って私は慌てて物件を飛び出し...,https://www.youtube.com/watch?v=NBqBPgaFa2A,6.7万回視聴 / 3 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,1 回視聴,【スカッとする話】 夫の義両親と同居する事になり義父母と新居の見学へ行くと、なぜか私だけ別室に案内。不動産「今すぐ逃げて下さい！」明かされた衝撃の真実を知って私は慌てて物件を飛び出し,https://www.youtube.com/watch?v=UZCj8NanA-0,100%
1271,【スカッとする話】夫・息子・義母に9年間嫌われ続けた私。義母が亡くなり葬儀の日、離婚届を置いて引越すと、半狂乱の夫から鬼電がw,https://www.youtube.com/watch?v=5HWlENHS8h8,10万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,1 回視聴,【スカッとする話】 夫・息子・義母に9年間嫌われ続けた私。義母が亡くなり葬儀の日、離婚届を置いて引越すと、半狂乱の夫から鬼電がw,https://www.youtube.com/watch?v=-mYSNjp4moM,100%
1272,【スカッとする話】父の銀行で次期頭取候補だった夫が職場の受付嬢と浮気。夫「お前に頭取夫人は無理だろw」私「何も知らないのねw」3日後、大号泣の夫から66件の着信がw,https://www.youtube.com/watch?v=YfWacJ9_fK8,3.4万回視聴 / 1 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 父の銀行で次期頭取候補だった夫が職場の受付嬢と浮気。夫「お前に頭取夫人は無理だろw」私「何も知らないのねw」3日後、大号泣の夫から66件の着信がw,https://www.youtube.com/watch?v=G6xeIfd_UT4,100%
1273,【スカッとする話】生まれた息子が夫に似てない。夫「浮気してたな？離婚だ！」義父「今すぐ出てけアバズレが」10年後、夫と義父と遭遇すると2人が発狂。だって息子は…,https://www.youtube.com/watch?v=DeIUkxQ3Yjg,1万回視聴 / 1 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 生まれた息子が夫に似てない。夫「浮気してたな？離婚だ！」義父「今すぐ出てけアバズレが」10年後、夫と義父と遭遇すると2人が発狂。だって息子は…,https://www.youtube.com/watch?v=1cday0ktFEQ,100%
1274,【スカッとする話】私が義父の入院費を払ってると知らず私の荷物を処分した義妹「パパに寄生するなクズがw」義妹を残し2億の新築に引越し入院費の支払いをやめた結果w,https://www.youtube.com/watch?v=kN2RaU-DlNM,2.9万回視聴 / 1 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,2回視聴,【スカッとする話】 私が義父の入院費を払ってると知らず私の荷物を処分した義妹「パパに寄生するなクズがw」義妹を残し2億の新築に引越し入院費の支払いをやめた結果w,https://www.youtube.com/watch?v=VWZHjv1Fbec,100%
1275,【スカッとする話】私の第一子の出産祝で親戚一同と義実家に行くとなぜか私の席だけ無かった...義母「お祝いは家族だけw他人は立ってろw」私「帰りますか…」親戚一同「うん」→5分後、義母に悲劇がw,https://www.youtube.com/watch?v=awx6UJE46kc,4.4万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 私の第一子の出産祝で親戚一同と義実家に行くとなぜか私の席だけ無かった   義母「お祝いは家族だけw他人は立ってろw」私「帰りますか…」親戚一同「うん」→5分後、義母に悲劇がw,https://www.youtube.com/watch?v=KfQdGttuU08,100%
1276,【スカッとする話】私の里帰り中に夫と家を奪った親友から連絡「赤ちゃん出来たwもう帰ってくるなw」私「いいの？喜んで！」そのまま新居に引越した結果w,https://www.youtube.com/watch?v=BTIYCjXsOiY,17万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,10回視聴,【スカッとする話】 私の里帰り中に夫と家を奪った親友から連絡「赤ちゃん出来たwもう帰ってくるなw」私「いいの？喜んで！」そのまま新居に引越した結果w,https://www.youtube.com/watch?v=Ha-4fuxGs8g,100%
1277,【スカッとする話】私を捨て金持ちの愛人と再婚した元夫と再会すると、元夫「年収300万の貧乏人は失せろw」愛人「底辺は生活保護でも貰えばw」私「え？300万は月収だけど？」夫・愛人「え？」,https://www.youtube.com/watch?v=44cWtddOh_Y,9.6万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 私を捨て金持ちの愛人と再婚した元夫と再会すると、元夫「年収300万の貧乏人は失せろw」愛人「底辺は生活保護でも貰えばw」私「え？300万は月収だけど？」夫・愛人「え？」,https://www.youtube.com/watch?v=_3Lrl0KQNHk,100%
1278,【スカッとする話】義実家の新築祝いに行くと私だけカップ麺が出てきた...義両親「家族分しかありませんw」夫「...帰るか」私「はい」直後、義両親に大惨事がw,https://www.youtube.com/watch?v=wA9U9cdmjks,8.2万回視聴 / 2 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,2回視聴,【スカッとする話】 義実家の新築祝いに行くと私だけカップ麺が出てきた   義両親「家族分しかありませんw」夫「   帰るか」私「はい」直後、義両親に大惨事がw,https://www.youtube.com/watch?v=W0XUztQxB8g,100%
1279,【スカッとする話】義母「家政婦3号の引越しはまだ？w」義父「寄生虫はとっとと失せろw」私「5分後には出ていきます」1ヶ月後、血相変えた義父から鬼電→義父「お、お前の月収って」,https://www.youtube.com/watch?v=pYQ4HHc2X70,6.6万回視聴 / 1 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,4回視聴,【スカッとする話】 義母「家政婦3号の引越しはまだ？w」義父「寄生虫はとっとと失せろw」私「5分後には出ていきます」1ヶ月後、血相変えた義父から鬼電→義父「お、お前の月収って」,https://www.youtube.com/watch?v=iHUwcG_Pzp0,100%
1280,【スカッとする話】義母の私にだけ引越し先を教えない長男嫁「他人に住所は教えませんw今後一切関わらないでくださいw」1ヶ月後、長男嫁が病気で緊急手術→他人なので執刀医を辞退した結果w,https://www.youtube.com/watch?v=OJkzN_P6Tys,4.3万回視聴 / 1 年前,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,2 か月前,0 回視聴,【スカッとする話】 義母の私にだけ引越し先を教えない長男嫁「他人に住所は教えませんw今後一切関わらないでくださいw」1ヶ月後、長男嫁が病気で緊急手術→他人なので執刀医を辞退した結果w,https://www.youtube.com/watch?v=eO55IR5xYH8,100%
